City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Mantua,45.1667,10.7833,52.84,90,8,3.2,IT,2022-04-27 03:01:10
139,Lakatoro,-16.0999,167.4164,81.82,70,95,14.92,VU,2022-04-27 03:02:48
140,Goderich,43.7501,-81.7165,36.91,96,97,17.05,CA,2022-04-27 03:01:42
141,Makakilo City,21.3469,-158.0858,79.12,61,40,13.8,US,2022-04-27 03:01:40
142,Asau,46.4333,26.4,48.96,100,83,1.21,RO,2022-04-27 03:03:49
143,Arica,-18.475,-70.3042,65.53,84,100,2.68,CL,2022-04-27 03:02:37
144,Port Elizabeth,-33.918,25.5701,56.46,88,35,5.82,ZA,2022-04-27 03:03:49
145,Camacha,33.0833,-16.3333,56.62,82,20,6.91,PT,2022-04-27 03:03:50
146,Longyearbyen,78.2186,15.6401,1.24,60,40,9.22,SJ,2022-04-27 03:01:41
147,Nikolskoye,59.7035,30.7861,34.88,93,63,4.05,RU,2022-04-27 03:03:50
148,Kodiak,57.79,-152.4072,51.31,43,75,13.8,US,2022-04-27 03:01:49
149,Muros,42.7762,-9.0603,50.85,95,11,6.58,ES,2022-04-27 03:03:51
150,Provideniya,64.3833,-173.3,26.71,80,75,8.95,RU,2022-04-27 03:03:51
151,Hervey Bay,-25.2986,152.8535,80.02,59,55,5.99,AU,2022-04-27 03:03:52
152,Lapeer,43.0514,-83.3188,36.21,93,100,10.36,US,2022-04-27 03:03:52
153,Grindavik,63.8424,-22.4338,41.47,87,0,3.44,IS,2022-04-27 03:03:53
154,Port Hardy,50.6996,-127.4199,43.34,83,96,4.5,CA,2022-04-27 03:00:27
155,Codrington,-38.2667,141.9667,68.83,56,91,15.12,AU,2022-04-27 03:03:54
156,Sambava,-14.2667,50.1667,71.29,82,68,5.19,MG,2022-04-27 03:03:54
157,Clovis,36.8252,-119.7029,73.29,39,40,12.66,US,2022-04-27 03:01:46
158,Cherskiy,68.75,161.3,32.63,98,82,6.51,RU,2022-04-27 03:03:54
159,Souillac,-20.5167,57.5167,74.61,84,20,7.74,MU,2022-04-27 03:01:19
